Date,Year,Month,DayOfWeek,SportID,SportName,Strain,AvgHeartRate,MaxHeartRate,Duration_Minutes,Calories,StartTime,EndTime
22/06/2025,2025,6,Sunday,52,Hiking/Rucking,6.8398,134,165,16,154,2025-06-22T16:52:30.210Z,2025-06-22T17:08:59.200Z
21/06/2025,2025,6,Saturday,52,Hiking/Rucking,12.5654,125,163,100,743,2025-06-21T19:28:03.433Z,2025-06-21T21:07:40.999Z
21/06/2025,2025,6,Saturday,52,Hiking/Rucking,10.8577,132,160,54,479,2025-06-21T17:58:30.070Z,2025-06-21T18:52:29.060Z
20/06/2025,2025,6,Friday,34,Tennis,14.1653,143,173,63,702,2025-06-20T21:33:00.000Z,2025-06-20T22:35:59.000Z
20/06/2025,2025,6,Friday,53,Horseback Riding,8.503,125,162,40,304,2025-06-20T19:54:00.160Z,2025-06-20T20:34:29.140Z
19/06/2025,2025,6,Thursday,34,Tennis,16.9898,128,186,178,1485,2025-06-19T17:48:00.000Z,2025-06-19T20:46:29.000Z
18/06/2025,2025,6,Wednesday,34,Tennis,17.0386,143,168,121,1343,2025-06-18T23:18:00.000Z,2025-06-19T01:19:29.000Z
18/06/2025,2025,6,Wednesday,34,Tennis,11.2668,119,160,90,585,2025-06-18T14:28:30.000Z,2025-06-18T15:58:29.000Z
17/06/2025,2025,6,Tuesday,275,Unknown,9.2986,125,159,49,374,2025-06-17T19:55:30.210Z,2025-06-17T20:44:59.200Z
16/06/2025,2025,6,Monday,45,Weightlifting,14.072,116,143,67,392,2025-06-16T21:42:36.230Z,2025-06-16T22:49:24.230Z
15/06/2025,2025,6,Sunday,45,Weightlifting,11.3145,74,116,51,64,2025-06-15T21:36:59.825Z,2025-06-15T22:27:33.825Z
15/06/2025,2025,6,Sunday,34,Tennis,9.4113,125,150,55,411,2025-06-15T20:03:00.000Z,2025-06-15T20:58:29.000Z
15/06/2025,2025,6,Sunday,53,Horseback Riding,11.2699,132,165,56,495,2025-06-15T15:00:44.999Z,2025-06-15T15:57:01.000Z
14/06/2025,2025,6,Saturday,45,Weightlifting,11.8067,126,161,53,402,2025-06-14T21:52:52.107Z,2025-06-14T22:45:33.107Z
14/06/2025,2025,6,Saturday,63,Ice Skating,13.5765,129,167,93,790,2025-06-14T17:06:00.060Z,2025-06-14T18:38:59.000Z
12/06/2025,2025,6,Thursday,34,Tennis,13.145,139,169,61,621,2025-06-12T16:42:00.000Z,2025-06-12T17:43:29.000Z
11/06/2025,2025,6,Wednesday,45,Weightlifting,6.9889,76,125,79,104,2025-06-12T00:36:03.704Z,2025-06-12T01:54:47.704Z
10/06/2025,2025,6,Tuesday,249,Unknown,15.0108,135,169,111,1048,2025-06-10T23:12:00.910Z,2025-06-11T01:02:59.850Z
10/06/2025,2025,6,Tuesday,34,Tennis,13.094,136,166,66,634,2025-06-10T17:31:30.000Z,2025-06-10T18:37:29.000Z
09/06/2025,2025,6,Monday,45,Weightlifting,12.7008,85,132,89,137,2025-06-09T22:16:20.850Z,2025-06-09T23:44:56.850Z
05/06/2025,2025,6,Thursday,34,Tennis,6.9963,104,144,60,246,2025-06-06T00:00:00.000Z,2025-06-06T01:00:00.000Z
05/06/2025,2025,6,Thursday,45,Weightlifting,11.1075,73,113,92,112,2025-06-05T20:57:47.195Z,2025-06-05T22:29:32.195Z
04/06/2025,2025,6,Wednesday,45,Weightlifting,12.4348,78,110,85,108,2025-06-04T21:11:33.398Z,2025-06-04T22:36:45.398Z
03/06/2025,2025,6,Tuesday,45,Weightlifting,7.3695,79,130,129,203,2025-06-03T20:36:16.038Z,2025-06-03T22:45:18.038Z
02/06/2025,2025,6,Monday,34,Tennis,13.715,146,174,54,620,2025-06-03T00:24:00.000Z,2025-06-03T01:17:59.000Z
02/06/2025,2025,6,Monday,45,Weightlifting,6.9353,81,126,86,119,2025-06-02T21:07:25.714Z,2025-06-02T22:33:06.714Z
31/05/2025,2025,5,Saturday,0,Activity,5.1146,126,166,6,43,2025-06-01T01:56:52.034Z,2025-06-01T02:02:24.593Z
31/05/2025,2025,5,Saturday,45,Weightlifting,12.2371,88,129,74,117,2025-05-31T16:30:39.000Z,2025-05-31T17:44:31.462Z
30/05/2025,2025,5,Friday,45,Weightlifting,6.7024,91,135,40,80,2025-05-30T20:32:41.409Z,2025-05-30T21:12:18.409Z
30/05/2025,2025,5,Friday,34,Tennis,13.6516,129,156,105,867,2025-05-30T15:49:30.930Z,2025-05-30T17:34:01.890Z
30/05/2025,2025,5,Friday,34,Tennis,11.8744,137,174,45,448,2025-05-30T12:21:00.850Z,2025-05-30T13:05:59.830Z
29/05/2025,2025,5,Thursday,34,Tennis,15.9555,139,166,115,1181,2025-05-29T23:03:00.640Z,2025-05-30T00:58:14.150Z
29/05/2025,2025,5,Thursday,45,Weightlifting,11.231,96,127,92,203,2025-05-29T20:20:39.557Z,2025-05-29T21:52:43.557Z
28/05/2025,2025,5,Wednesday,45,Weightlifting,12.7714,97,119,27,62,2025-05-29T01:40:00.136Z,2025-05-29T02:06:52.136Z
28/05/2025,2025,5,Wednesday,0,Activity,8.1611,146,185,12,139,2025-05-29T01:27:00.000Z,2025-05-29T01:39:00.000Z
28/05/2025,2025,5,Wednesday,106,Unknown,14.2262,132,161,105,945,2025-05-28T23:15:00.870Z,2025-05-29T00:59:59.840Z
27/05/2025,2025,5,Tuesday,45,Weightlifting,10.9216,88,129,82,128,2025-05-27T22:17:52.198Z,2025-05-27T23:39:35.198Z
27/05/2025,2025,5,Tuesday,34,Tennis,11.6288,128,178,63,517,2025-05-27T17:36:00.480Z,2025-05-27T18:39:09.710Z
26/05/2025,2025,5,Monday,45,Weightlifting,12.3141,113,156,129,713,2025-05-26T21:12:00.450Z,2025-05-26T23:21:29.000Z
26/05/2025,2025,5,Monday,34,Tennis,13.9158,136,172,76,738,2025-05-26T17:15:00.500Z,2025-05-26T18:31:13.450Z
25/05/2025,2025,5,Sunday,34,Tennis,10.5286,128,161,51,422,2025-05-25T14:15:00.600Z,2025-05-25T15:05:59.590Z
24/05/2025,2025,5,Saturday,34,Tennis,15.3603,135,169,100,961,2025-05-24T23:25:30.140Z,2025-05-25T01:05:59.100Z
23/05/2025,2025,5,Friday,45,Weightlifting,0,0,0,32,0,2025-05-23T12:39:00.906Z,2025-05-23T13:11:00.805Z
22/05/2025,2025,5,Thursday,-1,Unknown,8.6075,125,164,34,272,2025-05-23T00:00:00.924Z,2025-05-23T00:34:29.500Z
22/05/2025,2025,5,Thursday,45,Weightlifting,7.2365,97,150,113,314,2025-05-22T21:32:06.936Z,2025-05-22T23:25:31.936Z
21/05/2025,2025,5,Wednesday,34,Tennis,9.5458,128,172,35,296,2025-05-21T23:39:00.173Z,2025-05-22T00:13:33.708Z
21/05/2025,2025,5,Wednesday,45,Weightlifting,10.001,88,148,117,236,2025-05-21T20:37:57.722Z,2025-05-21T22:35:09.722Z
20/05/2025,2025,5,Tuesday,34,Tennis,19.3943,135,179,181,1782,2025-05-20T22:09:00.325Z,2025-05-21T01:10:18.000Z
19/05/2025,2025,5,Monday,45,Weightlifting,11.8681,72,130,88,121,2025-05-19T23:42:21.069Z,2025-05-20T01:10:42.069Z
18/05/2025,2025,5,Sunday,34,Tennis,14.2301,127,171,154,1060,2025-05-18T20:28:30.620Z,2025-05-18T23:02:59.000Z
17/05/2025,2025,5,Saturday,249,Unknown,14.6189,136,167,91,875,2025-05-17T15:25:30.675Z,2025-05-17T16:56:59.143Z
17/05/2025,2025,5,Saturday,42,Dance,9.8579,116,165,75,449,2025-05-17T05:30:00.747Z,2025-05-17T06:44:59.642Z
15/05/2025,2025,5,Thursday,45,Weightlifting,8.512,86,130,106,198,2025-05-15T20:57:32.836Z,2025-05-15T22:43:30.836Z
14/05/2025,2025,5,Wednesday,45,Weightlifting,14.9899,84,119,37,59,2025-05-14T21:56:18.660Z,2025-05-14T22:33:08.660Z
13/05/2025,2025,5,Tuesday,45,Weightlifting,7.032,82,132,89,144,2025-05-13T23:58:38.281Z,2025-05-14T01:27:33.281Z
12/05/2025,2025,5,Monday,45,Weightlifting,6.7333,78,125,78,107,2025-05-12T20:54:40.612Z,2025-05-12T22:13:06.612Z
11/05/2025,2025,5,Sunday,42,Dance,11.2338,126,176,55,442,2025-05-11T04:46:30.083Z,2025-05-11T05:41:59.971Z
10/05/2025,2025,5,Saturday,34,Tennis,12.7333,131,190,70,628,2025-05-10T13:04:30.556Z,2025-05-10T14:14:59.264Z
09/05/2025,2025,5,Friday,45,Weightlifting,10.9627,80,120,23,34,2025-05-09T20:44:22.656Z,2025-05-09T21:07:42.656Z
09/05/2025,2025,5,Friday,34,Tennis,12.6834,129,167,70,602,2025-05-09T13:55:30.254Z,2025-05-09T15:05:59.966Z
09/05/2025,2025,5,Friday,34,Tennis,12.8916,132,170,69,625,2025-05-09T11:52:30.584Z,2025-05-09T13:01:29.739Z
08/05/2025,2025,5,Thursday,45,Weightlifting,12.8117,96,139,71,191,2025-05-08T22:29:35.243Z,2025-05-08T23:40:42.243Z
08/05/2025,2025,5,Thursday,34,Tennis,12.9944,132,167,66,593,2025-05-08T14:10:30.543Z,2025-05-08T15:16:29.153Z
06/05/2025,2025,5,Tuesday,63,Ice Skating,4.8579,108,138,16,74,2025-05-06T16:01:30.761Z,2025-05-06T16:17:59.944Z
05/05/2025,2025,5,Monday,63,Ice Skating,6.5232,112,152,39,205,2025-05-05T22:13:30.604Z,2025-05-05T22:52:29.839Z
05/05/2025,2025,5,Monday,63,Ice Skating,7.3626,104,172,54,232,2025-05-05T16:22:30.004Z,2025-05-05T17:16:29.990Z
05/05/2025,2025,5,Monday,63,Ice Skating,4.8184,107,130,18,75,2025-05-05T14:10:30.017Z,2025-05-05T14:28:29.547Z
03/05/2025,2025,5,Saturday,52,Hiking/Rucking,5.7538,121,171,15,104,2025-05-03T17:16:30.413Z,2025-05-03T17:31:29.233Z
02/05/2025,2025,5,Friday,52,Hiking/Rucking,4.1448,79,118,73,96,2025-05-03T01:30:30.002Z,2025-05-03T02:43:34.000Z
02/05/2025,2025,5,Friday,63,Ice Skating,5.1298,106,167,15,65,2025-05-02T13:18:00.452Z,2025-05-02T13:32:59.273Z
01/05/2025,2025,5,Thursday,53,Horseback Riding,9.2587,102,171,112,440,2025-05-01T15:29:21.192Z,2025-05-01T17:21:28.000Z
30/04/2025,2025,4,Wednesday,52,Hiking/Rucking,15.2929,98,168,473,1653,2025-04-30T14:02:49.284Z,2025-04-30T21:56:18.999Z
29/04/2025,2025,4,Tuesday,52,Hiking/Rucking,5.3812,106,162,18,93,2025-04-29T22:51:40.648Z,2025-04-29T23:09:38.000Z
